3998949;1272905
3995399;1271775
3991827;1270638
3989364;1269854
3987944;1269402
3986191;1268844
3985437;1268604
3982286;1267601
3980866;1267149
3977671;1266132
3975896;1265567
3975519;1265447
3971969;1264317
3968774;1263300
3967709;1262961
3967332;1262841
3966311;1262516
3964891;1262064
3964492;1261937
3960587;1260694
3958457;1260016
3957081;1259578
3956371;1259352
3955661;1259126
3955262;1258999
3953864;1258554
3952422;1258095
3952067;1257982
3948894;1256972
3946409;1256181
3946032;1256061
3942859;1255051
3941106;1254493
3937889;1253469
3936824;1253130
3933651;1252120
3933252;1251993
3932564;1251774
3930789;1251209
3928992;1250637
3928326;1250425
3926906;1249973
3924732;1249281
3924022;1249055
3923356;1248843
3922291;1248504
3921204;1248158
3916966;1246809
3916611;1246696
3915879;1246463
3915169;1246237
3911286;1245001
3910931;1244888
3908091;1243984
3907004;1243638
3904896;1242967
3904519;1242847
3901701;1241950
3901324;1241830
3900969;1241717
3897774;1240700
3896753;1240375
3896398;1240262
3896043;1240149
3895333;1239923
3893913;1239471
3893558;1239358
3892493;1239019
3891783;1238793
3891051;1238560
3888921;1237882
3887878;1237550
3886458;1237098
3885038;1236646
3884661;1236526
3882198;1235742
3881843;1235629
3881466;1235509
3880734;1235276
3868353;1231335
3865513;1230431
3864404;1230078
3860144;1228722
3858724;1228270
3857703;1227945
3857348;1227832
3856971;1227712
3856616;1227599
3856239;1227479
3855884;1227366
3854486;1226921
3851668;1226024
3850559;1225671
3849494;1225332
3847719;1224767
3845278;1223990
3844923;1223877
3844546;1223757
3843836;1223531
3843459;1223411
3842793;1223199
3842394;1223072
3842039;1222959
3840308;1222408
3836714;1221264
3835649;1220925
3833541;1220254
3828948;1218792
3828571;1218672
3826441;1217994
3825709;1217761
3822558;1216758
3822181;1216638
3820428;1216080
3820029;1215953
3816146;1214717
3812263;1213481
3806228;1211560
3803011;1210536
3801946;1210197
3798773;1209187
3795201;1208050
3793093;1207379
3791651;1206920
3789543;1206249
3788478;1205910
3783530;1204335
